Longitude,Latitude,Date,Deformation_Value
137.1760864,-4.084970951,1-Oct-20,5.822973
137.1760864,-4.084970951,13-Oct-20,-0.08845984
137.1760864,-4.084970951,25-Oct-20,-5.844584
137.1760864,-4.084970951,6-Nov-20,3.702569
137.1760864,-4.084970951,18-Nov-20,-2.738635
137.1760864,-4.084970951,30-Nov-20,-5.925519
137.1760864,-4.084970951,12-Dec-20,2.078843
137.1760864,-4.084970951,24-Dec-20,1.843379
137.1760864,-4.084970951,5-Jan-21,1.794203
137.1760864,-4.084970951,17-Jan-21,4.952
137.1760864,-4.084970951,29-Jan-21,-0.9769267
137.1760864,-4.084970951,10-Feb-21,13.21845
137.1760864,-4.084970951,22-Feb-21,5.608352
137.1760864,-4.084970951,6-Mar-21,2.9883
137.1760864,-4.084970951,18-Mar-21,-0.8022708
137.1760864,-4.084970951,30-Mar-21,2.419678
137.1760864,-4.084970951,11-Apr-21,1.463276
137.1760864,-4.084970951,23-Apr-21,8.276525
137.1760864,-4.084970951,17-May-21,-1.18947
137.1760864,-4.084970951,29-May-21,2.902632
137.1760864,-4.084970951,10-Jun-21,4.009006
137.1760864,-4.084970951,22-Jun-21,0
137.1760864,-4.084970951,16-Jul-21,1.31496
137.1760864,-4.084970951,28-Jul-21,-6.791008
137.1760864,-4.084970951,21-Aug-21,4.057608
137.1760864,-4.084970951,2-Sep-21,-4.341859
137.1760864,-4.084970951,14-Sep-21,-6.175593
137.1760864,-4.084970951,8-Oct-21,1.353534
137.1760864,-4.084970951,20-Oct-21,2.803549
137.1760864,-4.084970951,1-Nov-21,1.14106
137.1760864,-4.084970951,13-Nov-21,2.786242
137.1760864,-4.084970951,25-Nov-21,-6.979438
137.1760864,-4.084970951,7-Dec-21,10.21434
137.1760864,-4.084970951,19-Dec-21,2.454896
137.1760864,-4.084970951,31-Dec-21,2.366715
137.1760864,-4.084970951,12-Jan-22,-0.1810714
137.1760864,-4.084970951,24-Jan-22,4.145728
137.1760864,-4.084970951,5-Feb-22,-0.9583251
137.1760864,-4.084970951,17-Feb-22,12.92207
137.1760864,-4.084970951,1-Mar-22,-0.3660367
137.1760864,-4.084970951,13-Mar-22,0.8302619
137.1760864,-4.084970951,25-Mar-22,2.173633
137.1760864,-4.084970951,16-Apr-22,0.2589197
137.1760864,-4.084970951,18-Apr-22,0.2001626
137.1760864,-4.084970951,30-Apr-22,-7.98575
137.1760864,-4.084970951,24-May-22,3.878453
137.1760864,-4.084970951,17-Jun-22,-4.299076
137.1760864,-4.084970951,29-Jun-22,-4.593145
137.1760864,-4.084970951,11-Jul-22,1.874079
137.1760864,-4.084970951,23-Jul-22,-0.3719784
137.1760864,-4.084970951,4-Aug-22,2.810698
137.1760864,-4.084970951,16-Aug-22,5.023266
137.1760864,-4.084970951,28-Aug-22,-2.352548
137.1760864,-4.084970951,9-Sep-22,7.527737
137.1760864,-4.084970951,3-Oct-22,4.300829
137.1760864,-4.084970951,15-Oct-22,1.999971
137.1760864,-4.084970951,27-Oct-22,-0.9028415
137.1760864,-4.084970951,8-Nov-22,5.102558
137.1760864,-4.084970951,20-Nov-22,-0.9697176
137.1760864,-4.084970951,2-Dec-22,7.337035
137.1760864,-4.084970951,14-Dec-22,2.643122
137.1760864,-4.084970951,26-Dec-22,0.9020808
137.1760864,-4.084970951,04-Jul-20212,-0.9824322
137.1761017,-4.082334995,11-Jan-20,2.16005
137.1761017,-4.082334995,23-Jan-20,1.130593
137.1761017,-4.082334995,4-Feb-20,-1.886228
137.1761017,-4.082334995,16-Feb-20,5.453578
137.1761017,-4.082334995,28-Feb-20,-1.386217
137.1761017,-4.082334995,11-Mar-20,-0.3710213
137.1761017,-4.082334995,23-Mar-20,0.9104613
137.1761017,-4.082334995,4-Apr-20,-13.1007
137.1761017,-4.082334995,16-Apr-20,0.99252
137.1761017,-4.082334995,28-Apr-20,-3.84344
137.1761017,-4.082334995,10-May-20,-3.599355
137.1761017,-4.082334995,22-May-20,-3.902795
137.1761017,-4.082334995,3-Jun-20,-0.567631
137.1761017,-4.082334995,15-Jun-20,7.402498
137.1761017,-4.082334995,27-Jun-20,0.2604237
137.1761017,-4.082334995,9-Jul-20,-4.35379
137.1761017,-4.082334995,21-Jul-20,3.998724
137.1761017,-4.082334995,2-Aug-20,-1.553005
137.1761017,-4.082334995,14-Aug-20,-1.56947
137.1761017,-4.082334995,26-Aug-20,0.6271161
137.1761017,-4.082334995,7-Sep-20,0.6894479
137.1761017,-4.082334995,19-Sep-20,3.65222
137.1761017,-4.082334995,1-Oct-20,2.528187
137.1761017,-4.082334995,13-Oct-20,0.5518827
137.1761017,-4.082334995,25-Oct-20,8.065344
137.1761017,-4.082334995,6-Nov-20,-1.849204
137.1761017,-4.082334995,18-Nov-20,-1.251069
137.1761017,-4.082334995,30-Nov-20,-0.1424154
137.1761017,-4.082334995,12-Dec-20,-16.03556
137.1761017,-4.082334995,24-Dec-20,2.493426
137.1761017,-4.082334995,5-Jan-21,-2.07361
137.1761017,-4.082334995,17-Jan-21,-2.326758
137.1761017,-4.082334995,29-Jan-21,-6.699109
137.1761017,-4.082334995,10-Feb-21,-0.3044511
137.1761017,-4.082334995,22-Feb-21,5.969551
137.1761017,-4.082334995,6-Mar-21,2.474766
137.1761017,-4.082334995,18-Mar-21,-3.590167
137.1761017,-4.082334995,30-Mar-21,3.972297
137.1761017,-4.082334995,11-Apr-21,3.435672
137.1761017,-4.082334995,23-Apr-21,-3.647307
137.1761017,-4.082334995,17-May-21,0.5726002
137.1761017,-4.082334995,29-May-21,-0.05441419
137.1761017,-4.082334995,10-Jun-21,2.764012
137.1761017,-4.082334995,22-Jun-21,0
137.1761017,-4.082334995,16-Jul-21,-5.202107
137.1761017,-4.082334995,28-Jul-21,3.202003
137.1761017,-4.082334995,21-Aug-21,-1.176466
137.1761017,-4.082334995,2-Sep-21,-1.634293
137.1761017,-4.082334995,14-Sep-21,0.03040287
137.1761017,-4.082334995,8-Oct-21,-14.30031
137.1761017,-4.082334995,20-Oct-21,1.613525
137.1761017,-4.082334995,1-Nov-21,-0.5965358
137.1761017,-4.082334995,13-Nov-21,-2.686958
137.1761017,-4.082334995,25-Nov-21,-4.273959
137.1761017,-4.082334995,7-Dec-21,-0.7585063
137.1761017,-4.082334995,19-Dec-21,3.627823
137.1761017,-4.082334995,31-Dec-21,2.056523
137.1761017,-4.082334995,12-Jan-22,-3.18104
137.1761017,-4.082334995,24-Jan-22,5.531485
137.1761017,-4.082334995,5-Feb-22,-0.5716857
137.1761017,-4.082334995,17-Feb-22,-5.327713
137.1761017,-4.082334995,1-Mar-22,0.2510088
137.1761017,-4.082334995,13-Mar-22,0.3191513
137.1761017,-4.082334995,25-Mar-22,3.974653
137.1761017,-4.082334995,16-Apr-22,1.390015
137.1761017,-4.082334995,18-Apr-22,-3.585438
137.1761017,-4.082334995,30-Apr-22,8.376292
137.1761017,-4.082334995,24-May-22,-0.1782717
137.1761017,-4.082334995,17-Jun-22,0.3671422
137.1761017,-4.082334995,29-Jun-22,0.4294637
137.1761017,-4.082334995,11-Jul-22,-9.612239
137.1761017,-4.082334995,23-Jul-22,3.979079
137.1761017,-4.082334995,4-Aug-22,-1.385122
137.1761017,-4.082334995,16-Aug-22,-3.631861
137.1761017,-4.082334995,28-Aug-22,-3.661147
137.1761017,-4.082334995,9-Sep-22,-1.306993
137.1761017,-4.082334995,3-Oct-22,2.194549
137.1761017,-4.082334995,15-Oct-22,-0.498845
137.1761017,-4.082334995,27-Oct-22,-4.804042
137.1761017,-4.082334995,8-Nov-22,3.147168
137.1761017,-4.082334995,20-Nov-22,0.6224503
137.1761017,-4.082334995,2-Dec-22,-5.360963
137.1761017,-4.082334995,14-Dec-22,-0.5314832
137.1761017,-4.082334995,26-Dec-22,0.3368815
137.1761017,-4.082334995,04-Jul-20212,2.32576
137.1761169,-4.089653015,11-Jan-20,0.6608416
137.1761169,-4.089653015,23-Jan-20,-0.6290531
137.1761169,-4.089653015,4-Feb-20,5.783507
137.1761169,-4.089653015,16-Feb-20,-1.38562
